"avatarThumbnail","cid","createTime","createTimeISO","diggCount","input","likedByAuthor","pinnedByAuthor","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/f389fa560b80ab21a3b2879e21845152~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d1c58138&x-expires=1746838800&x-signature=QyEDH9vBVfdoe%2F7giOuPBi9iFsc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7465974225728635655","1738307602","2025-01-31T07:13:22.000Z","26459","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","false","false",,"2","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","proud of pandawara☹️","6935444794015433729","aksanrandu","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757"
"https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7479307b1d38c7e357740e65327abe09~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=116d8531&x-expires=1746838800&x-signature=T0ZOvCDZ%2FnUlI7VFzk3hvZc3uzA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7465998547596608274","1738313270","2025-01-31T08:47:50.000Z","2383","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","false","false",,"22","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","how can the government didn't do anything about this?","7262728553694512133","just_tshya","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/40f43920d90c7608c4bb72365b2a651e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=39d01380&x-expires=1746838800&x-signature=K8xyWS2h%2FGfcVcJeAPn7hjFMqUM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7466443700067975944","1738455195","2025-02-02T00:13:15.000Z","14633","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","false","false",,"38","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","give appreciation to the pandawara team👏🏻","6690872415357486082","athoahaha","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/61820ea3e4d01cd4c29a198b84f0d6d3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ab14487c&x-expires=1746838800&x-signature=G5hLsMXK11VLaiaLxdJLWn%2BYmTQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7466705093682217736","1738511748","2025-02-02T15:55:48.000Z","37","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","false","false",,"0","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","respect for pandawara","6884002961649058818","elynhehe134","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/81a27349e235b62bfcd916a751a3628d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=03e1ed4c&x-expires=1746838800&x-signature=svrLajIZfWOpswDtMhUuEBGGvWQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7499162599901397767","1746034872","2025-04-30T17:41:12.000Z","0","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","false","false",,"0","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","The best pandawara 😇","7160003311860974618","laureysmemories","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757"
"https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/7069946800613883931~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=129f0ece&x-expires=1746838800&x-signature=R6GTqJ0KpbyicjEnS81kzcMlZ6U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7499050299958330129","1746008737","2025-04-30T10:25:37.000Z","0","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","false","false",,"0","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","pandawara is the best","7066093818697860101","alfarisimuhlis","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7fff8b974554f0827f0900f38d88b49a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9072bcf1&x-expires=1746838800&x-signature=EQ4UE15pfyaX0RUBYsYNqJwoP6A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7465621305984140049","1738341049","2025-01-31T16:30:49.000Z","80","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","false","false",,"0","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","coooolllll","7456477876033127445","talsalstan","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/f028fd4734a763468a697a34db75ff54~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=95da859c&x-expires=1746838800&x-signature=STyukLTbpaDFAbNKzpEuB61RMgc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7499063859646022418","1746011882","2025-04-30T11:18:02.000Z","0","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","false","false",,"0","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","good job","7498341611614602256","sri.utami8280","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/2eba79a6eda080bca0cc72b47769f0d3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=58fa4ae7&x-expires=1746838800&x-signature=xXDvRM%2BxiFiGXQd%2BrvbOzzxJXgQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7465979114462511878","1738308765","2025-01-31T07:32:45.000Z","12","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","false","false",,"0","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","pandawara is the best forever","6561743832164286465","doctor.choperrrrrr","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/f00ed939b7307fd75d50b32eef86708e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1019801d&x-expires=1746838800&x-signature=HNU5cZmHMtqhRFuiLdvkyjuaTZ0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7466074921006318343","1738331041","2025-01-31T13:44:01.000Z","16","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","false","false",,"0","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","proud of u pandawara ,, respect kakanda 🔥","7359724603129857029","r0xie.ll","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/2a96860ef0705bf0e97d4b7a23390352~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3e9a4fad&x-expires=1746838800&x-signature=6l1gj%2B02KHgVzPz9BJPXrEa%2BuSE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7467237561594462982","1738640983","2025-02-04T03:49:43.000Z","22","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","false","false",,"0","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","proud of pandawara","6939760224753943553","verocutie","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/271499f546ec2f834c2480772a9a28b1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4801e39e&x-expires=1746838800&x-signature=onPVo5X0cH%2BuUzcHdp%2BILRLkC6Q%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7497657443767272199","1745684424","2025-04-26T16:20:24.000Z","0","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","false","false",,"0","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757","proud of pandawaraa","7215889673280979970","anakbaikbanget59","https://www.tiktok.com/@pandawaragroup/video/7465971640732650757"
